title,genres,summary,vote_average,popularity,release_date
Interstellar,Adventure Drama Sci-Fi,A team of explorers travels through a wormhole in space to find a new home for humanity.,8.6,95,2014-11-05
The Martian,Adventure Drama Sci-Fi,An astronaut stranded on Mars uses science and courage to survive while NASA plans a rescue mission.,8.0,82,2015-10-02
Star Wars,Action Adventure Sci-Fi,A young farm boy joins rebels and learns the force while fighting an evil galactic empire.,8.6,90,1977-05-25
Guardians of the Galaxy,Action Adventure Sci-Fi,A group of misfit criminals becomes unlikely heroes while trying to stop a villain from destroying the galaxy.,8.0,88,2014-08-01
Avatar,Action Adventure Sci-Fi,A former marine on an alien moon joins a native people to protect their world from human exploitation.,7.9,93,2009-12-18
Gravity,Drama Sci-Fi Thriller,Two astronauts fight to survive after debris destroys their spacecraft in orbit.,7.7,74,2013-10-04
Dune,Adventure Drama Sci-Fi,A gifted young noble travels to a dangerous desert planet where politics prophecy and survival collide.,8.0,89,2021-10-22
The Matrix,Action Sci-Fi,A hacker discovers reality is a simulated world controlled by intelligent machines and joins a rebellion.,8.7,91,1999-03-31
Inception,Action Adventure Sci-Fi,A thief enters dreams to steal secrets and attempts one final mission by planting an idea.,8.8,94,2010-07-16
Blade Runner 2049,Action Drama Sci-Fi,A young replicant hunter uncovers a secret that could change the future of humans and artificial beings.,8.0,80,2017-10-06
The Lion King,Animation Adventure Drama,A young lion prince flees after his father's death and later returns to reclaim the throne from his uncle.,8.5,86,1994-06-24
Finding Nemo,Animation Adventure Comedy,A timid clownfish crosses the ocean to rescue his captured son with help from a forgetful companion.,8.2,78,2003-05-30
Toy Story,Animation Adventure Comedy,Toys come to life when humans are not around and learn friendship after a new toy arrives.,8.3,82,1995-11-22
Up,Animation Adventure Comedy,An elderly widower ties balloons to his house and flies away with a young scout on an emotional adventure.,8.3,77,2009-05-29
Coco,Animation Adventure Family,A young musician enters the land of the dead to uncover family secrets and follow his dream.,8.4,79,2017-11-22
The Dark Knight,Action Crime Drama,A masked vigilante faces a criminal mastermind who spreads chaos across Gotham City.,9.0,98,2008-07-18
Se7en,Crime Drama Mystery,Two detectives hunt a serial killer who stages murders based on the seven deadly sins.,8.6,83,1995-09-22
Zodiac,Crime Drama Mystery,Investigators and journalists obsess over finding a mysterious serial killer in San Francisco.,7.7,70,2007-03-02
Gone Girl,Drama Mystery Thriller,A man becomes the focus of a media storm when his wife disappears under suspicious circumstances.,8.1,81,2014-10-03
Prisoners,Crime Drama Mystery,A desperate father takes matters into his own hands after two young girls disappear.,8.1,76,2013-09-20
Titanic,Drama Romance,A young couple from different social classes falls in love aboard a doomed ocean liner.,7.9,92,1997-12-19
The Notebook,Drama Romance,A poor young man and a wealthy young woman fall in love despite family and class differences.,7.8,76,2004-06-25
La La Land,Comedy Drama Music,A jazz musician and an aspiring actress fall in love while chasing dreams in Los Angeles.,8.0,82,2016-12-09
Pride and Prejudice,Drama Romance,A strong-minded young woman navigates love class and misunderstanding in nineteenth-century England.,7.8,70,2005-11-11
Before Sunrise,Drama Romance,Two strangers meet on a train and spend one meaningful night walking through Vienna.,8.1,65,1995-01-27
The Shawshank Redemption,Drama,A wrongly convicted banker forms a friendship in prison and patiently plans his escape.,9.3,96,1994-09-23
Forrest Gump,Drama Romance,A kindhearted man experiences major events in American history while pursuing love and purpose.,8.8,90,1994-07-06
The Pursuit of Happyness,Biography Drama,A struggling salesman faces homelessness while trying to build a better life for his son.,8.0,74,2006-12-15
The Social Network,Biography Drama,A Harvard student creates a social media empire while friendships and lawsuits fall apart.,7.8,75,2010-10-01
A Beautiful Mind,Biography Drama,A brilliant mathematician battles mental illness while making groundbreaking contributions.,8.2,72,2001-12-21
Jurassic Park,Adventure Sci-Fi,A theme park filled with cloned dinosaurs becomes dangerous when security systems fail.,8.2,84,1993-06-11
Jaws,Adventure Thriller,A police chief and crew hunt a deadly shark terrorizing a seaside town.,8.1,72,1975-06-20
Mad Max Fury Road,Action Adventure Sci-Fi,A warrior and a rebel driver flee across a desert wasteland while fighting a tyrant's army.,8.1,87,2015-05-15
The Lord of the Rings The Fellowship of the Ring,Action Adventure Fantasy,A humble hobbit begins a dangerous journey to destroy a powerful ring and save Middle-earth.,8.8,93,2001-12-19
Harry Potter and the Sorcerer's Stone,Adventure Family Fantasy,A young orphan discovers he is a wizard and begins school in a magical world.,7.6,86,2001-11-16
The Hunger Games,Action Adventure Sci-Fi,A teenage girl fights in a televised survival contest controlled by an oppressive government.,7.2,80,2012-03-23
